id,grade,kanji,rad
1,1,一,一
2,1,二,二
3,1,三,一 二
4,1,四,儿 囗
5,1,五,一 二 五
6,1,六,ハ 亠
7,1,七,乙 匕 ノ
8,1,八,ハ
9,1,九,九
10,1,十,十
11,1,百,一 白
12,1,千,ノ 十
13,1,日,日
14,1,月,月
15,1,火,火
16,1,水,水
17,1,木,木
18,1,金,金
19,1,土,土
20,1,下,｜ 一 卜
21,1,上,一 卜
22,1,左,ノ 一 工
23,1,右,ノ 一 口
24,1,大,大
25,1,中,｜ 口
26,1,小,小
27,1,手,手
28,1,足,口 足
29,1,目,目
30,1,耳,耳
31,1,口,囗 口
32,1,人,人
33,1,子,子
34,1,女,女
35,1,男,田 力
36,1,名,口 夕
37,1,年,ノ 一 干
38,1,山,山
39,1,川,川
40,1,森,木
41,1,林,木
42,1,田,田
43,1,空,穴 工 儿 宀
44,1,雨,雨
45,1,天,一 大
46,1,気,气 丶 ノ
47,1,夕,夕
48,1,花,⺅ 匕 ⺾
49,1,草,十 日 ⺾
50,1,竹,竹
51,1,犬,犬 大 丶
52,1,虫,虫
53,1,貝,貝 目 ハ
54,1,石,口 石
55,1,王,王
56,1,玉,王 丶
57,1,力,力
58,1,糸,糸 幺 小
59,1,車,車
60,1,音,音 日 立
61,1,学,子 ⺌ 冖
62,1,校,父 木 亠
63,1,先,ノ 土 儿
64,1,生,生
65,1,字,子 宀
66,1,文,文
67,1,本,一 木
68,1,村,寸 木
69,1,町,一 田 亅
70,1,白,白
71,1,赤,赤 土
72,1,青,月 青 土 二 亠
73,1,円,冂 亠 一 ｜
74,1,正,一 止
75,1,早,十 日
76,1,入,入
77,1,出,｜ 山
78,1,立,立
79,1,休,⺅ 木
80,1,見,見 目 儿
81,2,春,一 二 日 人
82,2,夏,一 自 夂
83,2,秋,火 禾
84,2,冬,夂 丶 攵
85,2,光,一 ⺌ 儿
86,2,風,風 冂 虫 ノ
87,2,晴,月 青 土 二 日 亠
88,2,雲,一 雨 二 厶
89,2,雪,ヨ 雨
90,2,朝,月 十 日
91,2,昼,一 日 尸 丶
92,2,夜,⺅ 夕 亠
93,2,午,ノ 干 十
94,2,明,月 日
95,2,星,生 日
96,2,野,矛 里 亅
97,2,原,小 白 厂
98,2,岩,口 山 石
99,2,谷,口 谷 ハ 𠆢
100,2,海,氵 母 毋
101,2,池,氵 也
102,2,公,ハ 厶
103,2,園,衣 口 土 囗
104,2,西,西
105,2,南,干 十 并 冂
106,2,東,｜ 一 日 木 田
107,2,北,匕 爿
108,2,時,寸 土 日
109,2,分,刀 ハ
110,2,週,口 辶 土 冂
111,2,曜,ヨ 日 隹
112,2,今,𠆢 一
